"filename", "language", "Python", "comment", "blank", "total"
"f:\ZhouTomo\ZhouTomo_v2\agent_client.py", "Python", 80, 8, 10, 98
"f:\ZhouTomo\ZhouTomo_v2\domain.py", "Python", 0, 0, -1, -1
"f:\ZhouTomo\ZhouTomo_v2\ports_temscript.py", "Python", 80, 1, 13, 94
"f:\ZhouTomo\ZhouTomo_v2\server_fastapi.py", "Python", 32, 10, 6, 48
"f:\ZhouTomo\ZhouTomo_v2\test_acquisition_params.py", "Python", 48, 8, 16, 72
"f:\ZhouTomo\ZhouTomo_v2\test_agent_integration.py", "Python", -35, -10, -18, -63
"f:\ZhouTomo\ZhouTomo_v2\test_debug_acquisition.py", "Python", 83, 11, 22, 116
"f:\ZhouTomo\ZhouTomo_v2\test_image_display.py", "Python", -45, -15, -17, -77
"f:\ZhouTomo\ZhouTomo_v2\test_json_serialization.py", "Python", 59, 6, 14, 79
"f:\ZhouTomo\ZhouTomo_v2\test_popup_fix.py", "Python", 43, 10, 18, 71
"f:\ZhouTomo\ZhouTomo_v2\view\dialogs.py", "Python", 140, 27, 10, 177
"f:\ZhouTomo\ZhouTomo_v2\view\main_window.py", "Python", 302, 71, 63, 436
"f:\ZhouTomo\ZhouTomo_v2\view\toolbar.py", "Python", 11, 2, 3, 16
"Total", "-", 798, 129, 139, 1066
