"filename", "language", "Markdown", "Python", "comment", "blank", "total"
"f:\ZhouTomo\ZhouTomo_v2\README.md", "Markdown", -215, 0, 0, -67, -282
"f:\ZhouTomo\ZhouTomo_v2\README_AGENT_INTEGRATION.md", "Markdown", -231, 0, 0, -82, -313
"f:\ZhouTomo\ZhouTomo_v2\README_ASYNC_FIX.md", "Markdown", -200, 0, 0, -76, -276
"f:\ZhouTomo\ZhouTomo_v2\README_IMAGE_DISPLAY.md", "Markdown", -121, 0, 0, -53, -174
"f:\ZhouTomo\ZhouTomo_v2\README_THREAD_SOLUTION.md", "Markdown", -234, 0, 0, -78, -312
"f:\ZhouTomo\ZhouTomo_v2\README_agent_client.md", "Markdown", -282, 0, 0, -106, -388
"f:\ZhouTomo\ZhouTomo_v2\README_domain.md", "Markdown", -190, 0, 0, -64, -254
"f:\ZhouTomo\ZhouTomo_v2\README_wiring.md", "Markdown", -128, 0, 0, -65, -193
"f:\ZhouTomo\ZhouTomo_v2\docs\README.md", "Markdown", 215, 0, 0, 67, 282
"f:\ZhouTomo\ZhouTomo_v2\docs\README_AGENT_INTEGRATION.md", "Markdown", 231, 0, 0, 82, 313
"f:\ZhouTomo\ZhouTomo_v2\docs\README_ASYNC_FIX.md", "Markdown", 200, 0, 0, 76, 276
"f:\ZhouTomo\ZhouTomo_v2\docs\README_IMAGE_DISPLAY.md", "Markdown", 121, 0, 0, 53, 174
"f:\ZhouTomo\ZhouTomo_v2\docs\README_THREAD_SOLUTION.md", "Markdown", 234, 0, 0, 78, 312
"f:\ZhouTomo\ZhouTomo_v2\docs\README_agent_client.md", "Markdown", 282, 0, 0, 106, 388
"f:\ZhouTomo\ZhouTomo_v2\docs\README_domain.md", "Markdown", 190, 0, 0, 64, 254
"f:\ZhouTomo\ZhouTomo_v2\docs\README_wiring.md", "Markdown", 128, 0, 0, 65, 193
"f:\ZhouTomo\ZhouTomo_v2\ports_temscript.py", "Python", 0, 17, 0, 1, 18
"f:\ZhouTomo\ZhouTomo_v2\server_fastapi.py", "Python", 0, 10, 1, 1, 12
"f:\ZhouTomo\ZhouTomo_v2\test_acquisition_params.py", "Python", 0, -48, -8, -16, -72
"f:\ZhouTomo\ZhouTomo_v2\test_debug_acquisition.py", "Python", 0, -83, -11, -22, -116
"f:\ZhouTomo\ZhouTomo_v2\test_json_serialization.py", "Python", 0, -59, -6, -14, -79
"f:\ZhouTomo\ZhouTomo_v2\test_popup_fix.py", "Python", 0, -43, -10, -18, -71
"f:\ZhouTomo\ZhouTomo_v2\view\agent_manager.py", "Python", 0, 121, 11, 27, 159
"f:\ZhouTomo\ZhouTomo_v2\view\dialogs.py", "Python", 0, 31, 1, -3, 29
"f:\ZhouTomo\ZhouTomo_v2\view\image_canvas.py", "Python", 0, 175, 22, 21, 218
"f:\ZhouTomo\ZhouTomo_v2\view\main_window.py", "Python", 0, 163, 50, -16, 197
"f:\ZhouTomo\ZhouTomo_v2\view\toolbar.py", "Python", 0, 57, 7, 10, 74
"Total", "-", 0, 341, 57, -29, 369
