"filename", "language", "Log", "Python", "Markdown", "pip requirements", "comment", "blank", "total"
"f:\ZhouTomo\ZhouTomo_v2\AGENT_CLIENT_COMPLETION_SUMMARY.md", "Markdown", 0, 0, 135, 0, 0, 52, 187
"f:\ZhouTomo\ZhouTomo_v2\DEBUG_INFO_SUMMARY.md", "Markdown", 0, 0, 146, 0, 0, 42, 188
"f:\ZhouTomo\ZhouTomo_v2\WIRING_COMPLETION_SUMMARY.md", "Markdown", 0, 0, 159, 0, 0, 52, 211
"f:\ZhouTomo\ZhouTomo_v2\agent.log", "Log", 0, 0, 0, 0, 0, 1, 1
"f:\ZhouTomo\ZhouTomo_v2\agent_client.py", "Python", 0, 425, 0, 0, 26, 100, 551
"f:\ZhouTomo\ZhouTomo_v2\config\__init__.py", "Python", 0, 0, 0, 0, 1, 1, 2
"f:\ZhouTomo\ZhouTomo_v2\config\colors.py", "Python", 0, 61, 0, 0, 10, 16, 87
"f:\ZhouTomo\ZhouTomo_v2\debug_spinbox.py", "Python", 0, 85, 0, 0, 7, 18, 110
"f:\ZhouTomo\ZhouTomo_v2\docs\API_USAGE_EXAMPLES.md", "Markdown", 0, 0, 328, 0, 0, 106, 434
"f:\ZhouTomo\ZhouTomo_v2\docs\PORTS_TEMSCRIPT_README.md", "Markdown", 0, 0, 203, 0, 0, 73, 276
"f:\ZhouTomo\ZhouTomo_v2\docs\README.md", "Markdown", 0, 0, 215, 0, 0, 67, 282
"f:\ZhouTomo\ZhouTomo_v2\docs\README_AGENT_INTEGRATION.md", "Markdown", 0, 0, 231, 0, 0, 82, 313
"f:\ZhouTomo\ZhouTomo_v2\docs\README_ASYNC_FIX.md", "Markdown", 0, 0, 200, 0, 0, 76, 276
"f:\ZhouTomo\ZhouTomo_v2\docs\README_IMAGE_DISPLAY.md", "Markdown", 0, 0, 121, 0, 0, 53, 174
"f:\ZhouTomo\ZhouTomo_v2\docs\README_THREAD_SOLUTION.md", "Markdown", 0, 0, 234, 0, 0, 78, 312
"f:\ZhouTomo\ZhouTomo_v2\docs\README_agent_client.md", "Markdown", 0, 0, 282, 0, 0, 106, 388
"f:\ZhouTomo\ZhouTomo_v2\docs\README_domain.md", "Markdown", 0, 0, 190, 0, 0, 64, 254
"f:\ZhouTomo\ZhouTomo_v2\docs\README_v2.md", "Markdown", 0, 0, 87, 0, 0, 63, 150
"f:\ZhouTomo\ZhouTomo_v2\docs\README_wiring.md", "Markdown", 0, 0, 128, 0, 0, 65, 193
"f:\ZhouTomo\ZhouTomo_v2\domain.py", "Python", 0, 341, 0, 0, 20, 94, 455
"f:\ZhouTomo\ZhouTomo_v2\example_agent_client_usage.py", "Python", 0, 170, 0, 0, 28, 60, 258
"f:\ZhouTomo\ZhouTomo_v2\example_wiring_usage.py", "Python", 0, 111, 0, 0, 19, 48, 178
"f:\ZhouTomo\ZhouTomo_v2\install_dependencies.py", "Python", 0, 41, 0, 0, 3, 11, 55
"f:\ZhouTomo\ZhouTomo_v2\main.py", "Python", 0, 25, 0, 0, 9, 15, 49
