"filename", "language", "Log", "Python", "pip requirements", "Markdown", "comment", "blank", "total"
"f:\ZhouTomo\ZhouTomo_v2\AGENT_CLIENT_COMPLETION_SUMMARY.md", "Markdown", 0, 0, 0, 135, 0, 52, 187
"f:\ZhouTomo\ZhouTomo_v2\DEBUG_INFO_SUMMARY.md", "Markdown", 0, 0, 0, 146, 0, 42, 188
"f:\ZhouTomo\ZhouTomo_v2\WIRING_COMPLETION_SUMMARY.md", "Markdown", 0, 0, 0, 159, 0, 52, 211
"f:\ZhouTomo\ZhouTomo_v2\agent.log", "Log", 0, 0, 0, 0, 0, 1, 1
"f:\ZhouTomo\ZhouTomo_v2\agent_client.py", "Python", 0, 425, 0, 0, 26, 100, 551
"f:\ZhouTomo\ZhouTomo_v2\autofocus\config.py", "Python", 0, 15, 0, 0, 2, 7, 24
"f:\ZhouTomo\ZhouTomo_v2\autofocus\controller.py", "Python", 0, 93, 0, 0, 13, 21, 127
"f:\ZhouTomo\ZhouTomo_v2\autofocus\microscope_api.py", "Python", 0, 69, 0, 0, 9, 13, 91
"f:\ZhouTomo\ZhouTomo_v2\config\__init__.py", "Python", 0, 0, 0, 0, 1, 1, 2
"f:\ZhouTomo\ZhouTomo_v2\config\colors.py", "Python", 0, 61, 0, 0, 10, 16, 87
"f:\ZhouTomo\ZhouTomo_v2\depreciate\ztDefinitionEvaluator.py", "Python", 0, 10, 0, 0, 0, 4, 14
"f:\ZhouTomo\ZhouTomo_v2\depreciate\ztStemAutoFocus.py", "Python", 0, 224, 0, 0, 60, 56, 340
"f:\ZhouTomo\ZhouTomo_v2\docs\API_USAGE_EXAMPLES.md", "Markdown", 0, 0, 0, 328, 0, 106, 434
"f:\ZhouTomo\ZhouTomo_v2\docs\PORTS_TEMSCRIPT_README.md", "Markdown", 0, 0, 0, 203, 0, 73, 276
"f:\ZhouTomo\ZhouTomo_v2\docs\README.md", "Markdown", 0, 0, 0, 215, 0, 67, 282
"f:\ZhouTomo\ZhouTomo_v2\docs\README_AGENT_INTEGRATION.md", "Markdown", 0, 0, 0, 231, 0, 82, 313
"f:\ZhouTomo\ZhouTomo_v2\docs\README_ASYNC_FIX.md", "Markdown", 0, 0, 0, 200, 0, 76, 276
"f:\ZhouTomo\ZhouTomo_v2\docs\README_IMAGE_DISPLAY.md", "Markdown", 0, 0, 0, 121, 0, 53, 174
"f:\ZhouTomo\ZhouTomo_v2\docs\README_THREAD_SOLUTION.md", "Markdown", 0, 0, 0, 234, 0, 78, 312
"f:\ZhouTomo\ZhouTomo_v2\docs\README_agent_client.md", "Markdown", 0, 0, 0, 282, 0, 106, 388
"f:\ZhouTomo\ZhouTomo_v2\docs\README_domain.md", "Markdown", 0, 0, 0, 190, 0, 64, 254
"f:\ZhouTomo\ZhouTomo_v2\docs\README_v2.md", "Markdown", 0, 0, 0, 87, 0, 63, 150
"f:\ZhouTomo\ZhouTomo_v2\docs\README_wiring.md", "Markdown", 0, 0, 0, 128, 0, 65, 193
"f:\ZhouTomo\ZhouTomo_v2\domain.py", "Python", 0, 341, 0, 0, 20, 94, 455
