"filename", "language", "Python", "XML", "Log", "comment", "blank", "total"
"f:\ZhouTomo\ZhouTomo_v2\.idea\ZhouTomo_v2.iml", "XML", 0, 12, 0, 0, 0, 12
"f:\ZhouTomo\ZhouTomo_v2\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 12, 0, 0, 0, 12
"f:\ZhouTomo\ZhouTomo_v2\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 6, 0, 0, 0, 6
"f:\ZhouTomo\ZhouTomo_v2\.idea\misc.xml", "XML", 0, 7, 0, 0, 0, 7
"f:\ZhouTomo\ZhouTomo_v2\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 8
"f:\ZhouTomo\ZhouTomo_v2\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 6
"f:\ZhouTomo\ZhouTomo_v2\agent.log", "Log", 0, 0, 8647, 0, 3, 8650
"f:\ZhouTomo\ZhouTomo_v2\autofocus\controller.py", "Python", 370, 0, 0, 27, 16, 413
"f:\ZhouTomo\ZhouTomo_v2\autofocus\microscope_api.py", "Python", 201, 0, 0, 0, 15, 216
"f:\ZhouTomo\ZhouTomo_v2\autotilt\controller.py", "Python", 312, 0, 0, 41, 32, 385
"f:\ZhouTomo\ZhouTomo_v2\debug_defocus.py", "Python", 116, 0, 0, 6, 31, 153
"f:\ZhouTomo\ZhouTomo_v2\depreciate\ztDefinitionEvaluator.py", "Python", -10, 0, 0, 0, -4, -14
"f:\ZhouTomo\ZhouTomo_v2\depreciate\ztStemAutoFocus.py", "Python", -224, 0, 0, -60, -56, -340
"f:\ZhouTomo\ZhouTomo_v2\domain.py", "Python", -38, 0, 0, 0, 0, -38
"f:\ZhouTomo\ZhouTomo_v2\example_agent_client_usage.py", "Python", -20, 0, 0, 9, 0, -11
"f:\ZhouTomo\ZhouTomo_v2\main.log", "Log", 0, 0, 5463, 0, 45, 5508
"f:\ZhouTomo\ZhouTomo_v2\main.py", "Python", 68, 0, 0, 2, 4, 74
"f:\ZhouTomo\ZhouTomo_v2\main_window.log", "Log", 0, 0, 0, 0, 1, 1
"f:\ZhouTomo\ZhouTomo_v2\model\targets.py", "Python", 27, 0, 0, 4, 2, 33
"f:\ZhouTomo\ZhouTomo_v2\ports_temscript.py", "Python", -60, 0, 0, -9, -11, -80
"f:\ZhouTomo\ZhouTomo_v2\run_agent.py", "Python", 2, 0, 0, 0, 0, 2
"f:\ZhouTomo\ZhouTomo_v2\server_fastapi.py", "Python", 152, 0, 0, 14, 12, 178
"f:\ZhouTomo\ZhouTomo_v2\src\utils.py", "Python", 9, 0, 0, -1, -1, 7
"f:\ZhouTomo\ZhouTomo_v2\strategy\ztDefinitionEvaluator.py", "Python", 10, 0, 0, 0, 4, 14
"f:\ZhouTomo\ZhouTomo_v2\strategy\ztDenoiser.py", "Python", 28, 0, 0, 0, 5, 33
"f:\ZhouTomo\ZhouTomo_v2\strategy\ztStemAutoFocus.py", "Python", 224, 0, 0, 60, 56, 340
"f:\ZhouTomo\ZhouTomo_v2\strategy\ztStemStrategy.py", "Python", 20, 0, 0, 2, 10, 32
"f:\ZhouTomo\ZhouTomo_v2\view\dialogs.py", "Python", 251, 0, 0, 28, 24, 303
"f:\ZhouTomo\ZhouTomo_v2\view\image_canvas.py", "Python", 103, 0, 0, 17, 6, 126
"f:\ZhouTomo\ZhouTomo_v2\view\main_window.py", "Python", 283, 0, 0, 24, 9, 316
"f:\ZhouTomo\ZhouTomo_v2\view\panels\file_panel.py", "Python", 4, 0, 0, 0, 0, 4
"f:\ZhouTomo\ZhouTomo_v2\view\panels\image_panel.py", "Python", 45, 0, 0, 3, 2, 50
"f:\ZhouTomo\ZhouTomo_v2\view\panels\info_panel.py", "Python", 325, 0, 0, 29, 18, 372
"f:\ZhouTomo\ZhouTomo_v2\view\toolbar.py", "Python", 30, 0, 0, -2, -1, 27
"Total", "-", 2228, 51, 14110, 194, 222, 16805
